_id,nombre,proveedorID,categoria,cantidadxUnidad,precioUnitario,unidadesnStock,unidadesnPedido
1,Jugo de Naranja,1,Bebidas,1 L,2.99,100,20
2,Desarmador Philips,2,Herramientas,1 pieza,5.49,50,15
3,Cerveza Lager,3,Bebidas,500 mL,1.99,200,30
4,Aceite de Oliva,4,Alimentos,500 mL,6.99,75,10
5,Tornillo de Acero,5,Herramientas,100 unidades,8.99,40,25
6,Café en Grano,6,Alimentos,250 g,4.99,120,35
7,Agua Mineral,7,Bebidas,1.5 L,1.29,150,40
8,Lámpara LED,8,Electrónica,1 pieza,12.99,60,20
9,Mantequilla,9,Alimentos,250 g,3.49,90,50
10,Alicate de Corte,10,Herramientas,1 pieza,9.99,70,15
11,Pasta de Dientes,11,Higiene,100 g,2.49,130,60
12,Chocolate en Barra,12,Alimentos,100 g,3.29,80,25
13,Leche Entera,13,Bebidas,1 L,1.89,140,20
14,Cable HDMI,14,Electrónica,1 pieza,7.99,50,30
15,Cinta Métrica,15,Herramientas,1 pieza,6.49,30,15
16,Jabón de Manos,16,Higiene,500 mL,2.99,110,25
17,Aceite de Coco,17,Alimentos,200 mL,5.49,85,20
18,Taza de Cerámica,18,Cocina,1 pieza,4.99,60,10
19,Teclado Mecánico,19,Electrónica,1 pieza,29.99,25,5
20,Pulsera de Actividad,20,Electrónica,1 pieza,45.99,15,8
21,Bolsa de Café,21,Alimentos,500 g,8.99,90,25
22,Sopa Instantánea,22,Alimentos,100 g,1.29,200,40
23,Caja de Herramientas,23,Herramientas,1 caja,25.99,20,12
24,Gafas de Sol,24,Accesorios,1 pieza,15.99,50,15
25,Ropa Deportiva,25,Ropa,1 pieza,20.99,40,20
26,Licuadora,26,Electrodomésticos,1 pieza,49.99,30,10
27,Sarten Antiadherente,27,Cocina,1 pieza,22.99,50,15
28,Ropa de Cama,28,Hogar,1 set,35.49,40,20
29,Kit de Pintura,29,Hogar,1 kit,19.99,25,8
30,Auriculares Bluetooth,30,Electrónica,1 pieza,29.99,45,12
31,Mouse Inalámbrico,31,Electrónica,1 pieza,15.49,80,30
32,Plato de Cerámica,32,Cocina,1 pieza,4.99,60,20
33,Colchón Queen Size,33,Hogar,1 pieza,199.99,10,5
34,Camisa de Algodón,34,Ropa,1 pieza,12.99,70,25
35,Tenedor de Cocina,35,Cocina,1 pieza,1.49,100,50
36,Cargador de Teléfono,36,Electrónica,1 pieza,9.99,90,20
37,Batidora de Mano,37,Electrodomésticos,1 pieza,34.99,30,10
38,Taza de Café,38,Cocina,1 pieza,3.99,50,15
39,Cinturón de Cuero,39,Accesorios,1 pieza,25.99,40,20
40,Lámpara de Escritorio,40,Electrónica,1 pieza,18.99,25,10
41,Papel Higiénico,41,Higiene,4 rollos,2.49,150,50
42,Ropa Interior,42,Ropa,1 pieza,7.99,80,30
43,Silla de Oficina,43,Muebles,1 pieza,89.99,15,8
44,Cámara de Seguridad,44,Electrónica,1 pieza,59.99,20,12
45,Cepillo de Dientes,45,Higiene,1 pieza,1.79,120,40
46,Mochila de Viaje,46,Accesorios,1 pieza,35.99,30,15
47,Set de Cubiertos,47,Cocina,6 piezas,10.99,40,20
48,Sándwichera,48,Electrodomésticos,1 pieza,25.49,20,10
49,Plancha de Ropa,49,Electrodomésticos,1 pieza,34.99,35,12
50,Funda para Sofá,50,Hogar,1 pieza,27.99,25,8
51,Batería de Cocina,51,Cocina,5 piezas,50.99,15,5
52,Guantes de Trabajo,52,Herramientas,1 par,3.99,70,20
53,Manta de Cama,53,Hogar,1 pieza,23.49,40,15
54,Bolsa de Deporte,54,Accesorios,1 pieza,18.99,55,12
55,Estante de Libro,55,Muebles,1 pieza,75.99,20,7
56,Cafetera,56,Electrodomésticos,1 pieza,39.99,25,10
57,Pañuelos Desechables,57,Higiene,10 paquetes,5.99,90,40
58,Cinta Aislante,58,Herramientas,1 rollo,2.49,100,30
59,Espresso,59,Bebidas,100 mL,3.99,80,20
60,Tapete de Yoga,60,Deportes,1 pieza,16.99,25,10
61,Pantalones Deportivos,61,Ropa,1 pieza,24.99,50,15
62,Cámara Digital,62,Electrónica,1 pieza,199.99,20,8
63,Silla de Jardín,63,Muebles,1 pieza,39.99,30,12
64,Batidora de Pie,64,Electrodomésticos,1 pieza,59.99,25,10
65,Almohada,65,Hogar,1 pieza,18.99,40,20
66,Bolsa de Granos de Café,66,Alimentos,500 g,7.99,60,15
67,Juego de Cuchillos,67,Cocina,5 piezas,29.99,35,10
68,Reproductor de MP3,68,Electrónica,1 pieza,49.99,25,12
69,Caja de Herramientas,69,Herramientas,1 pieza,22.99,20,8
70,Cinta de Medición,70,Herramientas,1 pieza,5.49,75,25
71,Paquete de Pasta,71,Alimentos,500 g,1.79,120,30
72,Cargador de Baterías,72,Electrónica,1 pieza,15.99,50,20
73,Termómetro Digital,73,Electrónica,1 pieza,9.99,40,15
74,Ropa de Niños,74,Ropa,1 pieza,14.99,70,20
75,Espejo de Mano,75,Higiene,1 pieza,3.99,100,25
76,Cafetera de Prensa,76,Cocina,1 pieza,27.99,30,12
77,Reloj de Pulsera,77,Accesorios,1 pieza,39.99,25,10
78,Gafas de Protección,78,Herramientas,1 pieza,8.99,80,15
79,Sillón de Oficina,79,Muebles,1 pieza,99.99,15,8
80,Set de Tazas,80,Cocina,4 piezas,18.99,50,20
81,Juguete para Mascota,81,Accesorios,1 pieza,7.99,70,15
82,Manta de Picnic,82,Hogar,1 pieza,15.49,40,12
83,Guantes de Cocina,83,Cocina,1 par,6.99,90,20
84,Set de Pintura Acrílica,84,Arte,12 tubos,22.99,25,10
85,Lampara de Pie,85,Iluminación,1 pieza,34.99,30,8
86,Sofá Cama,86,Muebles,1 pieza,179.99,10,5
87,Estufa Eléctrica,87,Electrodomésticos,1 pieza,99.99,20,8
88,Escoba,88,Hogar,1 pieza,4.99,100,30
89,Tenedor de Campo,89,Cocina,1 pieza,3.49,60,25
90,Pantalones de Trabajo,90,Ropa,1 pieza,29.99,45,20
91,Cargador de Laptop,91,Electrónica,1 pieza,29.99,40,15
92,Cepillo de Cocina,92,Hogar,1 pieza,4.49,80,20
93,Batería Recargable,93,Electrónica,1 pieza,11.99,60,25
94,Almohada de Espuma,94,Hogar,1 pieza,27.99,30,10
95,Botellas de Agua,95,Alimentos,6 botellas,8.99,50,20
96,Auriculares In-ear,96,Electrónica,1 pieza,19.99,70,15
97,Silla de Comedor,97,Muebles,1 pieza,59.99,20,10
98,Pañuelo de Seda,98,Ropa,1 pieza,12.49,50,15
99,Set de Llaves Inglesas,99,Herramientas,5 piezas,32.99,25,10
100,Mopa para Piso,100,Hogar,1 pieza,7.49,60,20
101,Gafas de Sol,101,Accesorios,1 pieza,14.99,90,25
102,Juguete Educativo,102,Niños,1 pieza,24.99,40,12
103,Set de Brochas de Maquillaje,103,Belleza,10 piezas,19.49,35,15
104,Bolsa de Tela,104,Accesorios,1 pieza,5.99,80,20
105,Ropa de Baño,105,Ropa,1 pieza,29.99,25,10
106,Pantalones de Mezclilla,106,Ropa,1 pieza,39.99,50,20
107,Escoba de Cerdas,107,Hogar,1 pieza,6.49,70,25
108,Cuchara de Madera,108,Cocina,1 pieza,2.99,100,30
109,Plancha de Vapor,109,Electrodomésticos,1 pieza,49.99,20,8
110,Cortina de Baño,110,Hogar,1 pieza,14.99,30,12
111,Cinta de Embalar,111,Oficina,1 rollo,3.49,80,25
112,Batidora de Mano,112,Electrodomésticos,1 pieza,29.99,40,15
113,Silla de Oficina Ergonómica,113,Muebles,1 pieza,129.99,15,5
114,Papel de Regalo,114,Oficina,1 rollo,4.99,90,20
115,Colchón Inflable,115,Hogar,1 pieza,49.99,25,10
116,Guantes de Cocina,116,Cocina,1 par,7.49,70,15
117,Tazas para Café,117,Cocina,4 piezas,15.99,50,12
118,Ropa de Cama para Niños,118,Hogar,1 set,34.99,30,10
119,Lámpara LED,119,Iluminación,1 pieza,12.99,60,20
120,Cuchillo de Chef,120,Cocina,1 pieza,18.99,40,15
121,Cinta Métrica,121,Herramientas,1 pieza,7.49,65,20
122,Aspiradora,122,Electrodomésticos,1 pieza,129.99,15,8
123,Kit de Pintura,123,Arte,12 piezas,22.49,30,12
124,Espejo de Pared,124,Hogar,1 pieza,34.99,25,10
125,Alfombra,125,Muebles,1 pieza,45.99,20,12
126,Cargador de Teléfono,126,Electrónica,1 pieza,9.99,75,25
127,Porta Lápices,127,Oficina,1 pieza,2.99,90,30
128,Chaqueta de Invierno,128,Ropa,1 pieza,59.99,40,15
129,Mochila Escolar,129,Accesorios,1 pieza,23.49,50,20
130,Papel Higiénico,130,Hogar,12 rollos,6.99,100,40
131,Set de Cubiertos,131,Cocina,4 piezas,19.99,35,12
132,Linterna,132,Hogar,1 pieza,14.49,60,15
133,Sombrero de Sol,133,Accesorios,1 pieza,8.99,40,20
134,Cafetera Eléctrica,134,Cocina,1 pieza,39.99,25,10
135,Cámara de Seguridad,135,Electrónica,1 pieza,149.99,15,5
136,Bolso de Mano,136,Accesorios,1 pieza,32.99,50,20
137,Cuaderno de Notas,137,Oficina,1 pieza,4.49,80,25
138,Plancha de Ropa,138,Electrodomésticos,1 pieza,34.99,30,12
139,Juego de Sábanas,139,Hogar,1 set,22.99,45,15
140,Vaso de Cristal,140,Cocina,1 pieza,3.49,90,25
141,Cinturón de Cuero,4,Accesorios,1 pieza,18.99,70,20
142,Soporte para Laptop,142,Electrónica,1 pieza,12.49,60,15
143,Pinceles de Pintura,143,Arte,6 piezas,14.99,25,10
144,Candelabro,144,Hogar,1 pieza,22.99,30,12
145,Estante de Libro,145,Muebles,1 pieza,49.99,20,10
146,Cinta Adhesiva,146,Oficina,1 rollo,1.99,100,30
147,Batidora de Mano,147,Electrodomésticos,1 pieza,34.99,40,15
148,Tenedor de Mesa,148,Cocina,1 pieza,2.99,100,30
149,Silla de Oficina,149,Muebles,1 pieza,89.99,15,5
150,Guantes de Trabajo,150,Herramientas,1 par,6.99,80,20
